run_id,cycle_id,RRN,Amount,Transaction_Date,Source,Exception_Type,Ageing_Days,Ageing_Bucket
RUN_20260108_023831,,670919890415906.0,48657.61,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,845425078880052.0,18809.0,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,392960566229566.0,31709.81,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,802718776723167.0,43246.88,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,44930464671025.0,15450.21,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,571606489892148.0,43254.72,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,283076387138985.0,14926.63,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,707798402842930.0,27720.28,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,614039536387408.0,19701.25,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,407176600663745.0,11534.6,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,74528832523934.0,28286.87,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,321172428771770.0,11746.16,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,517277520467920.0,9050.49,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,608658402368981.0,49070.88,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,810297996855789.0,6226.44,2026-01-07,CBS,relaxed_match_i,1,0-1 days
RUN_20260108_023831,,682973676677530.0,7218.14,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,427767666185489.0,2191.93,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,526989585658777.0,43722.42,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
RUN_20260108_023831,,838792402362104.0,36034.43,2026-01-07,CBS,TCC_102,1,0-1 days
RUN_20260108_023831,,601396350788097.0,42622.6,2026-01-07,CBS,NPCI_FAILED,1,0-1 days
